 Beam Length: 2.5 m  ,  Deflection: 3.02754 mm
 Beam Length: 3.0 m  ,  Deflection: 6.27790 mm
 Beam Length: 4.2 m  ,  Deflection: 24.11719 mm
 Beam Length: 5.5 m  ,  Deflection: 70.92188 mm
 Beam Length: 6.0 m  ,  Deflection: 100.44643 mm
 Beam Length: 2.5 m  ,  Deflection: 3.02754 mm
 Beam Length: 3.0 m  ,  Deflection: 6.27790 mm
 Beam Length: 4.2 m  ,  Deflection: 24.11719 mm
 Beam Length: 5.5 m  ,  Deflection: 70.92188 mm
 Beam Length: 6.0 m  ,  Deflection: 100.44643 mm
 Beam Length: 2.5 m  ,  Deflection: 3.02754 mm
 Beam Length: 3.0 m  ,  Deflection: 6.27790 mm
 Beam Length: 4.2 m  ,  Deflection: 24.11719 mm
 Beam Length: 5.5 m  ,  Deflection: 70.92188 mm
 Beam Length: 6.0 m  ,  Deflection: 100.44643 mm
 Beam Length: 2.5 m  ,  Deflection: 3.02754 mm
 Beam Length: 3.0 m  ,  Deflection: 6.27790 mm
 Beam Length: 4.2 m  ,  Deflection: 24.11719 mm
 Beam Length: 5.5 m  ,  Deflection: 70.92188 mm
 Beam Length: 6.0 m  ,  Deflection: 100.44643 mm
